大陆,#genre#
CCTV中国中央电视台-9 纪录,http://111.40.205.76/PLTV/88888888/224/3221225734/index.m3u8#http://111.40.205.87/PLTV/88888888/224/3221225734/index.m3u8#http://112.50.243.8/PLTV/88888888/224/3221225820/1.m3u8#http://117.148.187.37/PLTV/88888888/224/3221226156/index.m3u8#http://ivi.bupt.edu.cn/hls/cctv9.m3u8
NewTV未来电视 精品记录,http://111.40.205.76/PLTV/88888888/224/3221225672/index.m3u8#http://111.40.205.87/PLTV/88888888/224/3221225672/index.m3u8#http://117.148.187.37/PLTV/88888888/224/3221226763/index.m3u8#http://121.31.30.90:8085/ysten-business/live/jingpinjl/1.m3u8

宗教,#genre#
GOOD TV CH1 綜合台,http://live.streamingfast.net/osmflivech1.m3u8
GOOD TV CH10 烤箱讀書會 短版,http://live.streamingfast.net/osmflivech10.m3u8
GOOD TV CH12 維他命施,http://live.streamingfast.net/osmflivech12.m3u8
GOOD TV CH13 健康新煮流 短版,http://live.streamingfast.net/osmflivech13.m3u8
GOOD TV CH14 真情部落格,http://live.streamingfast.net/osmflivech14.m3u8
GOOD TV CH15 真情之夜,http://live.streamingfast.net/osmflivech15.m3u8
GOOD TV CH16 葉光明,http://live.streamingfast.net/osmflivech16.m3u8
GOOD TV CH17 大衛鮑森,http://live.streamingfast.net/osmflivech17.m3u8
GOOD TV CH19 共享觀點,http://live.streamingfast.net/osmflivech19.m3u8
GOOD TV CH2 真理台,http://live.streamingfast.net/osmflivech2.m3u8
GOOD TV CH20 恩典時分,http://live.streamingfast.net/osmflivech20.m3u8
GOOD TV CH21 華語講員,http://live.streamingfast.net/osmflivech21.m3u8
GOOD TV CH22 職場新視野,http://live.streamingfast.net/osmflivech22.m3u8
GOOD TV CH23 空中主日學 生活,http://live.streamingfast.net/osmflivech23.m3u8
GOOD TV CH26 空中主日學 查經,http://live.streamingfast.net/osmflivech26.m3u8
GOOD TV CH27 空中聖經學院,http://live.streamingfast.net/osmflivech27.m3u8
GOOD TV CH28 現代詩歌,http://live.streamingfast.net/osmflivech28.m3u8
GOOD TV CH29 經典音樂河,http://live.streamingfast.net/osmflivech29.m3u8
GOOD TV CH3 真情部落格 短版,http://live.streamingfast.net/osmflivech3.m3u8
GOOD TV CH30 天堂敬拜,http://live.streamingfast.net/osmflivech30.m3u8
